ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1995-01-01,557342.255954,18377931.74976183,22892146.96100917,557342.255954,557342.255954,19912944.81993104,19912944.81993104,19912944.81993104,19912944.81993104,19912944.81993104,19912944.81993104,0.0,0.0,0.0,20470287.075885043
1996-01-01,1218670.4242864961,18824963.116809588,23572790.188800957,1218670.4242864961,1218670.4242864961,20002910.006118808,20002910.006118808,20002910.006118808,20002910.006118808,20002910.006118808,20002910.006118808,0.0,0.0,0.0,21221580.430405304
1997-01-01,1881810.4510465446,19283719.11067367,23986035.289362423,1881810.4510465446,1881810.4510465446,19694103.620509736,19694103.620509736,19694103.620509736,19694103.620509736,19694103.620509736,19694103.620509736,0.0,0.0,0.0,21575914.07155628
1998-01-01,2543138.6196607626,20045555.556351118,24812551.831074137,2543138.6196607626,2543138.6196607626,19809968.189549,19809968.189549,19809968.189549,19809968.189549,19809968.189549,19809968.189549,0.0,0.0,0.0,22353106.80920976
1999-01-01,3204466.788841607,20786382.3840064,25362625.905779086,3204466.788841607,3204466.788841607,19912944.819930892,19912944.819930892,19912944.819930892,19912944.819930892,19912944.819930892,19912944.819930892,0.0,0.0,0.0,23117411.6087725
2000-01-01,3865794.9587461557,21587900.656005386,26140921.666170485,3865794.9587461557,3865794.9587461557,20002910.00611931,20002910.00611931,20002910.00611931,20002910.00611931,20002910.00611931,20002910.00611931,0.0,0.0,0.0,23868704.96486547
2001-01-01,4528934.988137887,21802760.07666596,26535903.045960054,4528934.988137887,4528934.988137887,19694103.620509893,19694103.620509893,19694103.620509893,19694103.620509893,19694103.620509893,19694103.620509893,0.0,0.0,0.0,24223038.60864778
2002-01-01,5190272.907118141,22639730.264135096,27396755.016014602,5190272.907118141,5190272.907118141,19809968.189549446,19809968.189549446,19809968.189549446,19809968.189549446,19809968.189549446,19809968.189549446,0.0,0.0,0.0,25000241.096667588
2003-01-01,5851659.023968378,23184314.21451181,28124241.481345505,5851659.023968378,5851659.023968378,19912944.819931403,19912944.819931403,19912944.819931403,19912944.819931403,19912944.819931403,19912944.819931403,0.0,0.0,0.0,25764603.84389978
2004-01-01,6513045.468144247,24127087.98341051,28962659.072796263,6513045.468144247,6513045.468144247,20002910.006118625,20002910.006118625,20002910.006118625,20002910.006118625,20002910.006118625,20002910.006118625,0.0,0.0,0.0,26515955.47426287
2005-01-01,7176244.030547566,24463920.27989672,29248571.72970672,7176244.030547566,7176244.030547566,19694103.620510347,19694103.620510347,19694103.620510347,19694103.620510347,19694103.620510347,19694103.620510347,0.0,0.0,0.0,26870347.651057914
2006-01-01,7837630.574846811,25194683.974415008,30254339.748091746,7837630.574846811,7837630.574846811,19809968.189548966,19809968.189548966,19809968.189548966,19809968.189548966,19809968.189548966,19809968.189548966,0.0,0.0,0.0,27647598.764395777
2007-01-01,8499017.118809959,26038529.183992833,30792554.028323848,8499017.118809959,8499017.118809959,19912944.819930986,19912944.819930986,19912944.819930986,19912944.819930986,19912944.819930986,19912944.819930986,0.0,0.0,0.0,28411961.938740946
2008-01-01,9160403.664026257,26730579.830522057,31528517.38668304,9160403.664026257,9160403.664026257,20002910.006119024,20002910.006119024,20002910.006119024,20002910.006119024,20002910.006119024,20002910.006119024,0.0,0.0,0.0,29163313.67014528
2009-01-01,9823602.226897573,27185635.409973808,31925311.327231128,9823602.226897573,9823602.226897573,19694103.620509546,19694103.620509546,19694103.620509546,19694103.620509546,19694103.620509546,19694103.620509546,0.0,0.0,0.0,29517705.847407117
2010-01-01,10484988.771569762,28119322.015837144,32890494.614826113,10484988.771569762,10484988.771569762,19809968.189549208,19809968.189549208,19809968.189549208,19809968.189549208,19809968.189549208,19809968.189549208,0.0,0.0,0.0,30294956.96111897
2011-01-01,11146375.316401532,28603249.340373926,33421225.076139253,11146375.316401532,11146375.316401532,19912944.819931176,19912944.819931176,19912944.819931176,19912944.819931176,19912944.819931176,19912944.819931176,0.0,0.0,0.0,31059320.136332706
2012-01-01,11807763.558230815,29485711.125907283,34055432.87931239,11807763.558230815,11807763.558230815,20002910.006119017,20002910.006119017,20002910.006119017,20002910.006119017,20002910.006119017,20002910.006119017,0.0,0.0,0.0,31810673.56434983
2013-01-01,12470963.822809394,29660997.882151015,34528274.13257005,12470963.822809394,12470963.822809394,19694103.620510302,19694103.620510302,19694103.620510302,19694103.620510302,19694103.620510302,19694103.620510302,0.0,0.0,0.0,32165067.443319697
2014-01-01,13132352.065740436,30715273.99726645,35380012.725029096,13132352.065740436,13132352.065740436,19809968.189549893,19809968.189549893,19809968.189549893,19809968.189549893,19809968.189549893,19809968.189549893,0.0,0.0,0.0,32942320.25529033
2015-01-01,13793740.308671478,31495760.038123176,36084411.67159452,13793740.308671478,13793740.308671478,19912944.819930725,19912944.819930725,19912944.819930725,19912944.819930725,19912944.819930725,19912944.819930725,0.0,0.0,0.0,33706685.12860221
2016-01-01,14455128.55160252,32296244.610814713,36855590.61588796,14455128.55160252,14455128.55160252,20002910.00611905,20002910.00611905,20002910.00611905,20002910.00611905,20002910.00611905,20002910.00611905,0.0,0.0,0.0,34458038.55772157
2017-01-01,15118328.817116937,32527404.48167254,37139991.85484054,15118328.817116937,15118328.817116937,19694103.620509587,19694103.620509587,19694103.620509587,19694103.620509587,19694103.620509587,19694103.620509587,0.0,0.0,0.0,34812432.437626526
2018-01-01,15779717.060047979,33452303.17400147,38070451.957548775,15779717.060047979,15779717.060047979,19809968.189549133,19809968.189549133,19809968.189549133,19809968.189549133,19809968.189549133,19809968.189549133,0.0,0.0,0.0,35589685.24959711
2018-12-31,16439293.28039565,34163409.73467058,39010542.17182339,16439290.726060854,16439295.182105891,20193730.649405535,20193730.649405535,20193730.649405535,20193730.649405535,20193730.649405535,20193730.649405535,0.0,0.0,0.0,36633023.92980118
2019-12-31,17100681.52332669,34967505.75899859,39563001.18843035,17100673.14728431,17100687.60992446,20230721.0643254,20230721.0643254,20230721.0643254,20230721.0643254,20230721.0643254,20230721.0643254,0.0,0.0,0.0,37331402.58765209
2020-12-31,17763881.788841102,35385678.71401058,40130728.79644973,17763867.04608893,17763894.21909825,20079755.435500428,20079755.435500428,20079755.435500428,20079755.435500428,20079755.435500428,20079755.435500428,0.0,0.0,0.0,37843637.22434153
2021-12-31,18425270.031772148,36294365.15882517,40950709.42209725,18425248.285282582,18425291.047202267,20143388.143897668,20143388.143897668,20143388.143897668,20143388.143897668,20143388.143897668,20143388.143897668,0.0,0.0,0.0,38568658.17566982
2022-12-31,19086658.27470319,36973779.21780804,41584670.133777864,19086626.68973272,19086689.17386378,20193730.64940543,20193730.64940543,20193730.64940543,20193730.64940543,20193730.64940543,20193730.64940543,0.0,0.0,0.0,39280388.924108624
2023-12-31,19748046.51763423,37772330.61999512,42348863.39322361,19748006.505677294,19748087.86835844,20230721.064325538,20230721.064325538,20230721.064325538,20230721.064325538,20230721.064325538,20230721.064325538,0.0,0.0,0.0,39978767.58195977
2024-12-31,20411246.783148654,38047867.890653834,42662826.18767208,20411195.606048867,20411299.301870517,20079755.435499698,20079755.435499698,20079755.435499698,20079755.435499698,20079755.435499698,20079755.435499698,0.0,0.0,0.0,40491002.21864835
2025-12-31,21072635.026079696,38773519.805423275,43580437.31580165,21072573.141502045,21072698.74940861,20143388.143897835,20143388.143897835,20143388.143897835,20143388.143897835,20143388.143897835,20143388.143897835,0.0,0.0,0.0,41216023.16997753
2026-12-31,21734023.269010738,39555578.62919525,44216611.640263684,21733947.607190203,21734100.515077814,20193730.649405442,20193730.649405442,20193730.649405442,20193730.649405442,20193730.649405442,20193730.649405442,0.0,0.0,0.0,41927753.91841618
2027-12-31,22395411.51194178,40166487.935065344,45017743.203752644,22395322.114692874,22395504.020160187,20230721.06432536,20230721.06432536,20230721.06432536,20230721.06432536,20230721.06432536,20230721.06432536,0.0,0.0,0.0,42626132.57626714
